2024-11-25	Bob	BOB622	30
2024-11-25	Charlie	CHA394	20
2024-11-26	Alice	ALI661	70
2024-11-26	Bob	BOB324	40
2024-11-26	Charlie	CHA808	35
2024-11-27	Alice	ALI356	40
2024-11-27	Bob	BOB300	50
2024-11-27	Charlie	CHA690	60
2024-11-28	Alice	ALI530	50
2024-11-28	Bob	BOB306	30
2024-11-28	Charlie	CHA663	20
2024-11-29	Alice	ALI540	70
2024-11-29	Bob	BOB172	40
2024-11-29	Charlie	CHA797	35
2024-11-30	Alice	ALI451	40
2024-11-30	Bob	BOB260	50
2024-11-30	Charlie	CHA685	60
2024-12-01	Alice	ALI112	50
2024-12-01	Bob	BOB216	30
2024-12-01	Charlie	CHA895	20
2024-12-02	Alice	ALI535	70
2024-12-02	Bob	BOB422	40
2024-12-02	Charlie	CHA955	35
2024-12-03	Alice	ALI162	40
2024-12-03	Bob	BOB679	50
2024-12-03	Charlie	CHA697	60
2024-12-04	Alice	ALI105	50
2024-12-04	Bob	BOB806	30
2024-12-04	Charlie	CHA960	20
